Comment,Author,Date,Score
Statue of someone with no name who's done nothing vs statues of highly accomplished people with historical names. Stark contrast indeed.,social_dinosaur,2025-05-08T06:56:42,1194
I’ve seen this post a few times on Facebook and the comment sections are all hysterical.  “Y’aLl cOnSeRvAtIvEs aRe OfFeNdEd!”  No. No we’re not. We just think it’s fucking stupid. Stop projecting.,Captain-Triangle,2025-05-08T07:45:55,378
The fact that they’ve made her fat is really the crown jewel of all of this for me.,UltraAirWolf,2025-05-08T07:26:52,563
How about a 12’ statue of a black American that accomplished something great. There are plenty to choose from. This is silly. I don’t recall seeing 13’ tall statues of no name white people in prominent places.,jeon2595,2025-05-08T09:28:07,140
"""New York City's Times Square installed a statue of a 12-foot-tall Black woman in casual clothing that its creator hopes will encourage people to reflect on ""greater cultural diversity.""  They really have nothing. LOL",Right_Independent_71,2025-05-08T06:57:29,474
"I actually like the statue, its a monument of everything wrong with the wokies. On the one hand you have 2 highly accomplished white men and on the other a black woman whose only accomplishment is... being fat? This is literally DEI in statue form.",Dor29,2025-05-08T08:13:51,192
They've torn down the contributors and now seek to glorify dependence.,triggernaut,2025-05-08T06:57:24,256
I don't care that libs want to install their own shitty art in their own cities but why did they have to get rid of Thomas Jefferson to do so?  I wouldn't care as much if they didn't tear down statues while putting up their own.,PatTheBatsFatNutsack,2025-05-08T07:52:11,101
"How do we know the statue is black, or a woman? Has anyone asked how the statue identifies?",Exact-Ad-877,2025-05-08T07:52:59,107
This will just function as another red pill moment.,JTuck333,2025-05-08T07:33:26,80
Money says this statue quietly disappears within a couple years as people begin to realize how silly it looks.,ITrCool,2025-05-08T08:11:14,49
I'm waiting for someone to leave a bucket of KFC in front of the statue and the race grifters to start foaming at the mouth.,Kern_system,2025-05-08T09:31:03,21
I wonder how the artist made it when they dont knkw what a woman is?,DingbattheGreat,2025-05-08T07:20:01,85
"“It was a pedestal from which a god had been torn and in his place there stood not Satan with a sword, but a corner lout sipping a bottle of Coca-Cola.”",ColumbusJewBlackets,2025-05-08T07:57:24,36
This must have been planned sometime during 2017-2021 when the social justice movement was peaking.,ChiefStrongbones,2025-05-08T09:36:55,12
"""Give me your food stamps, free internet, a smartphone for free, and a dozen doughnuts.""",TheUglyWeb,2025-05-08T09:25:12,21
Aren't all the statues bronze anyway? They should paint her hair purple so we know which one is which.,Dependent-Aside-9750,2025-05-08T08:11:03,19
You can always protest by holding a near dead smoke detector in front of it,Lanky_Acanthaceae_34,2025-05-08T09:20:37,14
Is she something we’re all supposed to aspire to be? ,Rockmann1,2025-05-08T09:08:06,10
"I have spent an inordinate amount of time laughing at this, to be honest.",otakuzod,2025-05-08T10:27:49,8
"The left removed a bunch of statues without a whimper from the right, notably in 2020.  Don't expect the same if the right does the same.",vampirepomeranian,2025-05-08T10:31:09,7
Participation statue.,WuFlu_Tang_Clan,2025-05-08T18:35:37,3
Hey look! A statue commemorating the worst A.G. in NY history!,goat-head-man,2025-05-08T10:50:11,4
Did anyone check under the dress? What is a woman anyway? (Some) Supreme Court judges need to know,CCCmonster,2025-05-08T20:38:53,2
"I hear she still can't dunk, but has great fundamentals. ",Evilsmile,2025-05-08T10:06:51,5
They keep coming up with new ways to celebrate mediocrity,margacolada,2025-05-08T11:42:58,2
"It's certainly a stark contrast, some real fish out of water stuff.",ChristopherRoberto,2025-05-08T11:49:09,2
"All I see is that it's so easy being a woman in today's society that you can do nothing, be a nobody, and have a giant ass statue made of you to dwarf everyone else while everyone has to praise you for being ""empowered"". But you can also still play victim whenever it's convenient.  Must be nice",Lord_Sicarius,2025-05-08T17:01:04,2
I want a tee shirt of this.,Melodic_Speaker_2256,2025-05-08T15:52:45,1
"I was there last night, didn't see it",arbitrageisfreemoney,2025-05-09T07:22:30,1
"All I see is that it's so easy being a woman in today's society that you can do nothing, be a nobody, and have a giant ass statue made of you to dwarf everyone else while everyone has to praise you for being ""empowered"". But you can also still play victim whenever it's convenient.  Must be nice",Lord_Sicarius,2025-05-08T17:00:55,0
Its a temporary installation folks. That does make a difference.  Honestly to the everyday person its kind of cool.  Just don’t fuck with the founding fathers tondo so.,Sregor_Nevets,2025-05-08T07:04:53,-123
![gif](giphy|BHXbTxdTnemEo),Captain-Triangle,2025-05-08T07:54:14,306
">Statue of someone with no name who's done nothing...  A statue of an anonymous well-fed and cared-for New York woman in casual clothes who appears to stare at two statues of people of noted accomplishment, as well as the general public, like they owe her something, standing defiantly in the middle of a sidewalk, blocking people's progress...paid for with contributions from liberal organizations and a large amount of government money. Others may say that the statue has no purpose, but I'd say they nailed the effect perfectly. Leave it.",sherzeg,2025-05-08T11:07:41,82
And she's fat. Don't forget that she's fat!,Juice-Altruistic,2025-05-08T08:00:32,228
I mean…they kinda nailed it then,Disastrous-Power-699,2025-05-08T07:46:09,97
I thought it was Aunt Jemima.,Strange_Chemistry503,2025-05-09T21:32:47,1
"Exactly. No offense, just ... 😮‍💨",sowellpatrol,2025-05-08T08:40:59,61
The level of stupidity offends me.,Juice-Altruistic,2025-05-08T08:01:11,99
"If they were being ideologically consistent, they'd see it as a demeaning characature of a ""sassy black woman"" and the expectation that she'd also be obese.  There's plenty of history defining black people who've made amazing contributions to science, art, culture, literature and so on, but it seems to be a trend to never highlight them or (literally ) put them on the pedestal they rightly deserve.",Point-Connect,2025-05-08T21:29:28,14
I'd absolutely be offended if I had to walk by that every day,Bozzz1,2025-05-08T09:26:32,37
And with her hands on her hips and a mild scowl on her face. 😂  She’s so inspirational! lol,Szorja,2025-05-08T08:56:34,195
"Yep. If he had made a statue of a woman who accomplished something great, and she happened to be a black woman who was overweight, nobody would have batted an eye. In fact, everyone would be saying ""Bravo! It's good that \[person's name\] is getting recognition for what she did!""",Antisocial_Worker7,2025-05-08T11:47:34,26
"They should have made it a state of Frederick Douglas or someone like that. If it has to be a woman for whatever reason, Rosa Parks or even Aretha Franklin. This just doesn't make sense.",deathlokke,2025-05-08T19:22:15,5
"Oh I'm reflecting on it alright, but probably not reaching the conclusion they want me to.",dom650,2025-05-08T08:17:16,104
literal word salad,Nerftuco,2025-05-08T09:09:39,27
"Greater cultural diversity is when everyone from Chicago to Paris to Lagos to Istanbul to Tokyo looks the same, acts the same, dresses the same, and consumes the same products.  The progressive take on ""multiculturalism"" really is bleak. Imagine you have this beautiful Thanksgiving feast laid out, then somebody throws all of the dishes into one giant stew.",Magehunter_Skassi,2025-05-08T11:19:55,25
"> its creator hopes will encourage people to reflect on ""greater cultural diversity.""  Ah yes because the residents of NYC, one of the most culturally and racially diverse places on the planet, need to reflect on MORE diversity.",cybaritic,2025-05-08T15:35:18,9
"Imagine a aliens collecting all our statues in a museum giving a tour...  ""Here we see a statue of Thomas Jefferson, 3rd President of the United States, Author of the Declaration of Independence.  And now we come to the statue of Generic Fat Black Woman #4965839401.""  ""What did she do?""  ""If she were real she would have been born with the correct skin color and had a poor diet.""  ***Inspiring.***",Rush2201,2025-05-08T17:15:10,9
"To a leftist, identity is accomplishment. In fact, it's the only kind of accomplishment they accept.   Working hard, creating value, learning, not committing crimes, not stealing, not accepting welfare, being healthy, not paying taxes, defending yourself and others; those are all worth nothing to dems.   The left hates anyone who contributes to free society.",trufin2038,2025-05-08T08:25:12,103
"""Who is John Galt?""",somegaijin42,2025-05-08T09:01:57,11
goteemmmm,Nerftuco,2025-05-08T09:10:27,16
We need a statueologist for this one!,chillthrowaways,2025-05-08T14:07:39,4
"I believe the article says the statue will be removed in a few months. The ""installation"" is funded by a local nonprofit.",audiophilistine,2025-05-08T09:24:26,22
I wonder how much new business the ‘artist’ will glean from it when they say ‘have you seen my latest woke?’,Imoldok,2025-05-08T09:23:31,7
"> Honestly to the everyday person its kind of cool.    Lol. Ok. Sure. I'll bite.    Explain why it's kind of cool Mr ""everyday person."" Be specific.",MeLlamoKilo,2025-05-08T07:39:20,51
"Brought to you by ""New York-based Times Square Arts"" [Jean Cooney](https://www.artnews.com/wp-content/uploads/2019/05/190420jeancooney498final.jpg) Director. You should see some of their other fine works.",GlitteringFutures,2025-05-08T09:45:56,34
They achieved their objective for sure.,social_dinosaur,2025-05-08T07:49:14,46
