Comment,Author,Date,Score
">The “Executive Branch” is the brainchild of Malik and the president’s eldest son, and their partners at conservative fund 1789 Capital. It will be located in Georgetown.  An address will be forthcoming. And the club will not end up lasting long in one way or another.",Any-Mode-9709,2025-04-26T18:17:17,31
The grifting continues.,Johnqpublic25,2025-04-26T18:31:04,32
Oh good. Just what we need. A Star Chamber in DC. 🙄,raistlin65,2025-04-26T19:16:56,14
About time we get back to some good ol laundering,jdmknowledge,2025-04-26T18:21:59,11
dRaIn thE sWaMp,alarmclockbk,2025-04-26T21:12:32,8
Good. Get them all in one place together. Please.,YPVidaho,2025-04-27T00:44:26,6
Fuck trump,CyclingMack,2025-04-26T21:48:20,4
"I went to college with Omeed, was a complete tool back then as well.",DrJiggsy,2025-04-27T10:06:08,1
soho house for losers,chickenbones11,2025-04-27T21:13:53,1
It's a good thing I voted for trump and not for those wealthy elitists he's always warning me about.  /s ,Patient_Reach439,2025-04-29T05:34:40,1
Everyday it’s some new way to make a mockery of our country.  Everyday impeachment level things.,[deleted],2025-04-26T19:21:25,14
People crave subjugation. Whatever it takes to not have to change.,drdildamesh,2025-04-27T00:01:04,1
