Comment,Author,Date,Score
"Nah, everyone needs to pitch in and feel the pain. The rich included.",thinkingisthehardest,2025-05-09T13:51:11,61
Just get rid of income tax altogether. It was unconstitutional until the greedy Feds managed to force through an amendment by fooling everyone into thinking it would be temporary to pay for WWI.,Swiftbow1,2025-05-09T19:41:23,10
I think we should have equal tax rates for every single citizen. We have zero liability voters in this country. People that get welfare don't have to worry about tax season. People that don't pay taxes don't really have to worry about anything from the government changing good or bad. They just get free stuff from the government. So they are a zero liability voter.,BossJackson222,2025-05-09T17:06:17,9
Adopting so many left wing policies.,bearcatjoe,2025-05-09T15:32:02,-7
"Yeah we're trying to incentivize companies to come to, and operate, in America. Raising taxes on them does the opposite effect. I agree that they really should be paying more in taxes, but let's not fuck up the other economic strategy we're attempting to enact in an effort to appease.",DannyDootch,2025-05-09T15:49:32,-6
So… pay their fair share?   Rich already pay all net taxes in their country. What are we talking about here.,TuskenRaider2,2025-05-09T19:13:36,-6
"Flat tax, high deductible (probably based on the poverty line), you only get to vote in federal elections if you pay federal taxes.",Mountain_Man_88,2025-05-09T18:19:50,-2
"Is it though? He basically says that he can see the case, and then tells Republicans not to do it.",the_house_from_up,2025-05-09T23:24:37,2
American company should be able to write off tariffs when they pay corporate taxes,whicky1978,2025-05-09T19:30:12,0
"No taxes for under 150k W-2 income. K-1 income tax goes up to normal. Stock buybacks banned. Offshore money laundering i.e. ""globalization"" taxed at normal rates. Stock grants and forgivable loans from biz to executives = income. Companies like Apple no longer get to re-route their income through Ireland. Close all the lobbyist designed loopholes.",thinkingisthehardest,2025-05-10T18:40:24,1
"Exactly. When you have voters who don't even pay taxes at all, come on lol....",BossJackson222,2025-05-09T18:22:15,-4
There's some quote from some Founding Father about how this system will only last as long as it takes people to realize that they can vote themselves more money.,Mountain_Man_88,2025-05-09T19:14:45,6
