Comment,Author,Date,Score
"He's not ending the war.  All what he is doing is kissing up to Putin and his authoritarian, terrorist regime.",Apprehensive_Idea758,2025-04-25T11:27:47,32
"Oh, it was just another one of his hilarious jokes!   What a cunt!",eggybread70,2025-04-25T11:52:01,23
They love playing the victim card and shifting the goalposts,Kind-City-2173,2025-04-25T11:30:27,19
I guess that makes him a Jester ... what a shit-show!,Minute-Can6829,2025-04-25T11:32:01,17
Anyone with a half functional brain could see this was a lie. 🤦‍♀️,jayraygel,2025-04-25T11:46:42,10
"Ah yes, it’s perfectly normal to joke about ending the invasion of Ukraine on the campaign and then say sike after just three months in office /s",Forward-Form9321,2025-04-25T12:17:54,9
What…100 times?,Internal-Flatworm347,2025-04-25T12:46:02,8
His entire presidency is a jest!,Doublebosco,2025-04-25T15:08:48,7
"Gosh, It was just a joke, bruh.",Green_with_Zealously,2025-04-25T12:07:13,6
"""In jest"". C'mon now. Tons of people in this country can't read past a sixth grade level. Simply call it what it was - a lie.",sec713,2025-04-25T13:25:00,6
"I remember something said in the conservative sub like ""take him seriously but don't take what he says at face value"" or something like that. Okay? A president is SUPPOSED to be a liar? So this is fine?",toes_hoe,2025-04-25T15:15:43,6
Nitwit,Due_Break_7079,2025-04-25T15:35:08,5
https://pbs.twimg.com/media/GKGbP3hWYAAqJ3L.jpg:large,backpackwayne,2025-04-25T11:17:02,5
The orange turd is a joke. His administration a total clownshow,johnk317,2025-04-25T15:51:04,4
Many people are saying Witkoff goes to Russia for instructions.,TheBombayClub1974,2025-04-25T13:43:08,3
Liars gonna lie,CartographerKey7322,2025-04-25T14:36:31,3
"He could give a 💩 about the “5000 lives a week lost”. He wants that Noble Peace Prize so bad, it’s a piece of shiny gold he can’t buy.",Present_Ad2973,2025-04-25T13:07:12,2
I was just joking about making America great again. Didn't you know that?,MarkMaynardDotcom,2025-04-25T13:39:04,2
"Idiot. Good luck, America. I’m so sorry this happened.",BigAlxBjj,2025-04-25T14:06:35,2
lol. JK. Gonna make it MUCH worse and be a rusky asset,Gildenstern2u,2025-04-25T15:29:30,2
"That's one of his standard excuses when he loses.  From the size of his apartment at Trump Tower to the proposed takeover of Greenland, he's used this one many times before.",Animats,2025-04-25T17:25:23,2
"Trump on anything: ""I was just kidding!""",mrkruk,2025-04-25T17:30:35,2
"Did he ever think maybe that's not something one should joke about? Rhetorical question, of course, I know he's just a festering twat.",DigiDee,2025-04-25T21:06:23,2
“I vote for Trump cause he always tells it like it is”,alarmclockbk,2025-04-25T14:06:30,2
"If this was biden, the entire left would have been calling him a failure and blaming him nonstop",Deep-Two7452,2025-04-25T12:37:28,1
"So if I commit war crimes, I can go free if I say it was, ""said in jest?"" Hell yea.",[deleted],2025-04-25T12:52:54,1
Just like all of his other political promises.,Neither_Cartoonist18,2025-04-25T12:57:57,1
If his lips are moving…,Maleficent_Gas3278,2025-04-25T12:59:04,1
That annoying kid in second grade that runs around fucking with everyone’s day and is like “it’s just a joke!” Like it’s a golden fucking parachute. Except it apparently works for this mother fucker?!? I hate it here.,dart51984,2025-04-25T16:41:18,1
Everything ends up as an “oops.” Where’s the personal responsibility?,simplyannymsly,2025-04-26T16:22:12,1
"So the 34 time convicted felon is also a ""It was just a prank, bro"" kind of guy?   Yeah,  that makes complete sense. His sycophants that bragged about trump doing everything he said he would will immediately change course and claim they knew all along he was joking...I mean who would seriously claim to end a war in a day? That would be stupid.      Good grief this is all an endless nightmare.",Marsha_Marsha-Marsha,2025-04-27T14:41:27,1
Oh yea. I’d bet within a year Putin is sending troops out to break whatever “peace agreement” is agreed to. And then DJ here won’t be able to even pretend Putin respects him anymore.,Chiquitarita298,2025-04-25T12:48:51,5
He wants to put himself in a position where he can take credit for the war ending. Ukraine and all the people that live there are a sacrifice he's willing to make for that headline. That's why he's putting pressure on zelensky to accept basically anything.,baz4k6z,2025-04-25T14:46:41,3
Calling Trump a cunt is an insult to cunts.,Apprehensive_Idea758,2025-04-26T10:36:45,5
Jesters have social value.,HippyGrrrl,2025-04-27T06:11:37,2
Calling Trump a nitwit is an insult to nitwits.,Apprehensive_Idea758,2025-04-26T10:37:32,1
I would say that’s highly likely.,bde959,2025-04-25T16:00:25,1
