Comment,Author,Date,Score
I like vet day more. It's about all engagements and sacrifices..,spezeditedcomments,2025-05-02T13:42:40,1444
"This is disrespectful to all veterans who’ve served in the litany of wars/engagements ever since WW2.   Vietnam, Grenada, Iraq, Afghanistan, Balkan conflicts, Gulf War…the air campaigns in Syria, the men who operate nuclear submarines throughout the world.   They all deserve respect",Unlucky_Buyer_2707,2025-05-02T14:44:53,1542
Totally unnecessary.  So frustrating he's worried about stuff like this when there is so much else to do.,SonnyC_50,2025-05-02T16:57:16,378
This feels unnecessary,ProdigalHacker,2025-05-02T13:46:17,971
"Could release the Epstein files and balance the budget, instead we’re doing this",kruschev246,2025-05-02T15:34:44,1009
"OR… or… hear me out: we don’t take YET ANOTHER thing AWAY from U.S. veterans?   It’s fine to recognize history. Context is good! Why turn focus away from honoring LIVING American veterans, though (none of those who served in WW1 are still with us, IIRC)…?  This puzzles me… ",PotatoesAndElephants,2025-05-02T18:37:46,279
But why?,TheGlen,2025-05-02T14:23:43,361
"**Victory Day is what Russia calls it.**  Let’s not.  https://en.m.wikipedia.org/wiki/Moscow_Victory_Day_Parade  This day is about honoring the *sacrifice of our veterans* not our ‘wins.’ Also, to the vets on here, honestly: thank you.",Blarghnog,2025-05-02T14:02:16,908
This seems both unnecessary and not that great an idea.,deadzip10,2025-05-02T14:14:06,264
But why? I’m for recognition of specifically the two world wars but this just eliminates a day that’s broadly meant to recognize all our vets regardless of what war they’ve served,just_one_random_guy,2025-05-02T13:56:21,234
"Yeah, this is one the stupidest things he's done by a large margin.",Wildwes7g7,2025-05-02T19:30:39,98
"Ehhh idk about this one. If you want to create holidays and celebrations for WW1 and WW2 then go for it. But if the idea is to get rid of Veterans Day altogether in favor of those two specific dates then that's a hard pass from me. I certainly could get behind Veterans Day staying where it is and these two as new and separate holidays.  Once again, just communicate clearly and don't make things harder for yourself Don.",Spartanlegion117,2025-05-02T13:42:42,283
No.,Buschwick66,2025-05-02T16:43:50,77
He should add another Federal holiday instead of changing this one ,Sheriff_Hopper,2025-05-02T14:09:14,130
"What the heck?  I get that it is Armistice Day, which nobody ever calls it that here.  What's wrong with keeping it as-is?  Even reverting to Armistice Day rolls off the tongue better than that mouthful.  And... that's my birthday and my birthday will always be on Veteran's Day.",miscstarsong,2025-05-02T13:55:10,112
Why?,Batbuckleyourpants,2025-05-03T06:49:54,7
"Whoever wrote this needs to be fired.  You would think someone writing for Military Times would understand military history.   November 11th has nothing to do with WWII.   V-E day is May 8th (May 9th in Russia, due to time zones) and V-J day is August 15th, both in 1945.   November 11th is the day of the armistice of WWI and is celebrated as Armistice Day in many other nations.   We called it Armistice Day until 1954, when it was rededicated to all veterans as Veterans Day.",Lord_Elsydeon,2025-05-02T14:26:12,78
"This is only a good idea if he is going to make another day Veteran's Day and make that a national holiday as well. If not, this is stupid. I'd much rather spend a day celebrating all veterans than celebrating the end of a war that literally no one still alive today remembers and most of the country probably doesn't even know took place in the 20th century.",Zaphenzo,2025-05-02T21:11:56,17
"That’s dumb. We need more holidays in my opinion, not changes to existing ones.",Icant_concentrate,2025-05-02T21:10:18,14
Would suck if you're in during an unpopular war that will never get a holiday.  Just keep Veteran's Day and replace one of those garbage identity months with Veteran's Month.,ChristopherRoberto,2025-05-02T18:18:30,14
...Do I still get free food? 😂,Enchylada,2025-05-02T14:31:43,-31
Will I still get free food that day?,Hectoriu,2025-05-02T15:41:35,-24
[removed],[deleted],2025-05-02T14:35:18,-28
We can’t stop winning!!!,goldfishfollies,2025-05-02T14:35:30,-119
