Comment,Author,Date,Score
"That is obvious.  If you dropped tariffs before you had a deal, you wouldn’t get a deal.",mdws1977,2025-05-04T12:09:09,121
Good,Sure-Wishbone-4293,2025-05-04T12:29:28,33
Uh Duh. Tariffs = leverage / negotiation power.   Room temperature IQ question from Kristen Welker and the rest of Meet The Press…,docholiday999,2025-05-04T12:49:29,25
Good,MiceTonerAccount,2025-05-04T12:03:54,18
Yeah that’s a common sense thing. I’m a-ok with bot supporting China’s slave labor conditions to prop their economy up. Bleed em dry,kgthdc2468,2025-05-04T13:00:15,6
Based.,____IIIII___ll__I,2025-05-04T12:50:42,4
Hrs also said tariffs with China will be significantly lower in the end.,cathbadh,2025-05-05T07:39:42,1
The Chinese people didn't think they would lose a trade war but their eyes are seeing the truth now.  China is asshole.,wanttostaygottogo,2025-05-04T14:09:59,-4
"Very stupid question - but not surprising.  Of course he won’t reduce the tariffs. There hasn’t even been a deal signed yet. On top of that, the tariffs on China are in place to restore jobs/manufacturing to the US. There will not be a 100% removal of tariffs on them at this point. ",getupkid1986,2025-05-04T23:32:14,1
"Agree, no deal unless it'd fair and reciprocal.  Which means when hell freezes over❗️👀",GiediOne,2025-05-04T12:29:18,6
"Why isn’t trump highlighting that putting tariffs on China , stops people buying a lot of thr fast fashion / cheap tat that falls apart, which is terrible for the environment ? It seems like he could highlight this ecological angle, but doesn’t seem to mention it",Emergency_Hurry280,2025-05-04T14:53:24,3
