Comment,Author,Date,Score
[Link to full article depicted in the image.](https://archive.is/ebybk),wenchette,2025-04-26T16:07:50,1
"In the future... when Trump has become officially a stain on history comparable to other fascist leaders in the past, can we please do checks and balances right, to make sure this *never ever* happens again?",FavorableTrashpanda,2025-04-26T16:41:19,21
I only care about Trump's last 100 days,Exotic-Feature-9386,2025-04-26T15:05:36,28
It’s going to take decades to recover from his second term.,Johnqpublic25,2025-04-26T15:11:12,15
I'm waiting for his 100 character maximum obituary.,christofitis,2025-04-26T18:01:35,8
Utter failure.,gotoshows,2025-04-26T16:58:21,5
"A crash is coming.  The recent 20 % drop was just a correction from the 40 % run up in 2023 and 2024.  The pain from the multitude of bad acts by Trump are not priced in.  We are head towards a depression comparable to 1929  Donald Trump’s second presidency is already descending into disarray amid a legal morass, self-inflicted errors, and a vast gap between its massive ambition and its capacity to enact that vision. Exhausting  crises on multiple fronts point to a potentially failed administration.  A recession that the president seems determined to talk the country into might puncture the bubble of achievement that the White House falsely cultivates each day. High prices and job losses, don’t discriminate between Republican and Democratic voters.  Hubris is threatening an administration that has made overreaches by previous presidents seem tame by comparison.  Trump’s victory, while clear, was not a landslide. Together with a tiny GOP majority in the House, it’s a thin political platform on which to base an attempt to simultaneously remake the global geopolitical system and the world trading paradigm; to transform the US government; and to destroy elite establishment centers of power. Weeks ago, the Washington narrative was that Trump’s second-term team would be more disciplined and unified than his first. But that’s looking increasingly incorrect.  Backbiting and organizational chaos at the Pentagon came after Defense Secretary Pete Hegseth confirmed fears about his fitness for the job by posting details of military strikes in Yemen on two Signal chats.  Trump’s trade wars have wiped trillions off global stock markets and are likely soon to hike prices for inflation-weary US shoppers.  His threats against Federal Reserve Chairman Jerome Powell have shattered investor confidence. The Dow Jones Industrial Average is heading to its worst April since the Great Depression.  And the world is wondering whether the dollar is a haven anymore. All of this may be behind an apparent and emerging climbdown that the administration signaled on Tuesday on the China tariffs and Trump’s warnings that he might fire the central bank chief.  ‘MHis purge of first-term officials who knew how Washington worked is resulting in embarrassing accidents. An undocumented migrant from Maryland was deported by mistake to El Salvador, igniting a massive legal showdown. And the administration set off a feud with Harvard University, apparently by mistake.  Trump’s claims that the force of his personality alone would end wars made him look foolish. His Ukraine peace effort looks amateur. Carnage is still raging in Gaza.  He’s destroyed America’s closest diplomatic friendship, with Canada, with unhinged demands it become the 51st state. His bullying means many tourists are staying away, frightened by potential harassment at US borders. Allies are making alternative arrangements, thereby diminishing American power.  There has been no blizzard of lawmaking to bolster Trump’s claims he’s had the most successful first 100 days in generations. How Republicans will pass his huge tax plan is unclear.  Tax season at the Internal Revenue Service was marked by dysfunction, with a revolving door of acting commissioners at the key agency.  Elon Musk’s evisceration of the US government may be setting up a series of disasters that are not yet evident. Massive funding cuts may gut US emergency preparedness as hurricane season approaches. Canceled health research on diseases like cancer may cause unnecessary deaths in years to come. The mistaken firing and hurried rehiring of technicians who look after nuclear weapons seems like an emblem of the Tesla chief’s tenure in Washington, which he said on Tuesday he’d soon begin to scale back.  And Trump’s incessant demands for more power have pushed the United States to the brink of one of the worst constitutional crises in 250 years. The forest of legal challenges has also severely disrupted many of the administration’s top priorities, including its signature mass deportation program.  Trump’s tariff wars seem insane to Wall Street investors and middle-class Americans who’ve seen their 401(k) plans plummet.  Trump’s America first creed horrifies the foreign policy establishment and threatens to undo generations of US leadership.  America’s reputation abroad is being slammed by Trump’s dismantling of USAID, genuflection to Russian President Vladimir Putin and abandonment of Africa.  A veteran of those early 21st-century wars, Hegseth now runs the Pentagon. His defenestration of senior uniformed officers who advocated diversity might be unfairly wrecking military careers and rocking the leadership of the world’s most lethal military. But the former Fox News anchor has the support of conservative media – one reason Trump is standing by him despite reports of his cavalier attitude to classified information.  As  the daily pandemonium unfolds, it’s worth remembering that this divisive presidency is a dangerous failure.",HawaiiStockguy,2025-04-26T15:36:44,6
"I’ve been silently reminding myself as all of his cabinet-led Project 2025 decisions play out; once they realize he didn’t actually improve their lives, they will turn against him like they did in the first term.",Soggy_Train3150,2025-04-26T20:21:39,2
His last 100 days cannot come soon enough.,Think-Hospital7422,2025-04-26T22:01:18,2
Just 14 more🤦‍♀️,Victor-LG,2025-04-27T13:07:22,1
If he makes it that far. Old man is tweaked.,PlayingfootsiewPutin,2025-04-26T15:15:39,10
"I feel sorry for whichever Democrat follows him. S/he will have an enormous mess to clean up, and knowing how fickle American voters are and how we expect instant gratification, that person will probably only have about 2 years to clean with a friendly Congress before it gets turned back over to MAGA and things get stonewalled.",jml510,2025-04-27T23:15:01,2
I wish,Exotic-Feature-9386,2025-04-27T08:54:18,1
Preferably the next 100 days.,Standard_List_2487,2025-04-26T17:54:36,6
"He very well might make it that far. Somehow he's still alive in his late 70s despite his obesity, sedentary lifestyle, eccentric sleep schedule, and unhealthy dietary choices.",jml510,2025-04-27T23:11:35,1
"When democrats are elected again, we have to clean as quickly as possible. Even if we have to do tons of executive orders, just spam them.",agnes_unicorn_pop,2025-04-28T02:15:02,3
People without a conscience seem to live longer.,EggyComet,2025-04-29T16:50:43,2
