Comment,Author,Date,Score
There’s a lot more the South African Nazi’s money can’t buy him and I hope we can keep finding out.,Administrated,2025-04-01T22:01:49,48
"Yayyy , deport that South African jackass .",Rciccioni,2025-04-01T22:06:06,31
He can't buy intellect or morality and kindness.,opturtlezerg5002,2025-04-01T23:38:56,17
I disagree. Something went right when he couldn't buy this election.,SlimShakey29,2025-04-01T23:10:40,12
Democrats suck,Ok_Leading_5974,2025-04-02T14:50:11,-3
Except for FL 1 & 6. Nice try though…,Adorable_Ad6045,2025-04-02T03:28:09,-13
The Bluesky post was being facetious.,SafariSeeker25,2025-04-02T01:03:58,22
"Nope.  Musk didn't campaign for the Florida election - besides, what would we expect from Florida - we can only expect to be kicked by a mule.",forrestfaun,2025-04-02T07:58:11,6
"Those races were always going for the Republican, the margins were 70% and 40%, but they were cut to 20% and 15% this time.  It was a huge swing towards the Dems.",phxees,2025-04-02T09:11:55,5
"Yah, great work on \*checks notes\* costing the R's 20 points on margin.   How many districts are less than +20 again?",lastres0rt,2025-04-02T03:33:50,9
"Even that was a Democrat victory with how the results were, and Elon wasn't even running that one.",FartPudding,2025-04-02T15:03:43,2
