Comment,Author,Date,Score
"A great opportunity for tens of thousands of spectators to chant ""lock him up!"" to Trump's face on his birthday.",clamorous_owle,2025-05-07T00:18:45,25
"GOD I hope there are teams willing to boycott.   I know it’s improbable, but it sure would shine a light.",KingBooRadley,2025-05-07T07:30:40,13
Tourism may be down by then. Way down.,13508615,2025-05-07T05:23:01,9
Like attending the 1936 Olympics in Berlin.,PengJiLiuAn,2025-05-07T07:28:53,11
I really hope the Verterns don't march in his parade. He has done wrong by them,HappyLife1307,2025-05-07T11:05:54,3
You mean the same world cup that your VP is threatening to have people deported from? That one? Also please quit capitalizing nouns that are not proper nouns. It's ridiculous,bluebird0713,2025-05-07T09:35:17,4
No one is going to come out of fear of being sent to a gulag,Flashy_Rough_3722,2025-05-07T19:01:18,2
Didn't JD Couch Fucker say they should have ICE agents at the World Cup? Why hasn't FIFA stripped the US of the World Cup?,JediMasterPopCulture,2025-05-08T05:19:22,2
I advise anyone a few shades darker than snow to bring a MAGA hat with them if they plan to leave their hotel.,696D726564646974,2025-05-07T07:09:59,2
Cutting back on spending,SteelPumpkin75,2025-05-07T21:09:09,1
What we need is a House FAFO Task Force.,MessagingMatters,2025-05-08T10:15:49,1
"from the stadium instead of the parade, while the world watches 😁",ms_directed,2025-05-07T00:20:53,16
Not when the threat of deportation looms even jokingly,Sensitive_Sense_8527,2025-05-07T05:56:48,4
"I hate this prick but you need to look at ticket prices, now, over a year before the tournament starts and we don't even know the final roster of teams other than the 3 host countries.   Tickets start at 3k and up for group games and they're pretty much all gone already. Forget about elimination bracket games, those are even higher.",0n-the-mend,2025-05-07T12:44:06,2
