Comment,Author,Date,Score
"Also love how he acts like winning Alabama was this huge accomplishment lol. They vote R by default, they literally almost elected a convicted pedophile in 2017 all because he had an R next to his name. Even his doofus stooge Vance would win Alabama by default if he ran in 2028.",Shadow_Strike99,2025-05-01T19:31:12,126
If some of these Kids don't WALK OUT I would be sorely disappointed,FarFromHomey,2025-05-01T20:25:00,38
"[Feb 13](https://www.al.com/news/2025/02/heres-how-much-nih-cuts-could-cost-ua-tuscaloosa.html)  > A rate cut at the National Institutes of Health could cost the University of Alabama $2.85 million annually and diminish funding for the University of Alabama in Huntsville as well, officials said... It hits especially hard at the University of Alabama Birmingham, the largest employer in Alabama. UAB officials estimate the cut could cost the institution about $70 million a year.   I wonder if they invited him as part of a brown-nosing campaign to try to get a special exemption from the cuts.",gnurdette,2025-05-01T19:36:45,25
"idk why I'm torturing myself thru this horrible commencement speech, imagine you go thru four grueling years of college only to have your graduation speech be a goddamn campaign speech. this is so fucking gross.    eta: [link to this monstrosity of a grad speech](https://www.youtube.com/live/E_FIGfq0Hco?si=VpjeW8V8Ohcuhx5w)    he even complains and asks if he can skip the ""boring parts"" (the part that was actually on the teleprompter for him)",ms_directed,2025-05-01T20:08:51,18
"His post is a lie, of course. The university created a special ticketed event for him to speak at after he invited himself there. They asked the graduates to wear their caps and gowns so it could be a giant photo op. Graduates are having their individual ceremonies tomorrow and Saturday. My daughter (a student there) watched the livestream. He actually said he hated all the journalism majors during his unhinged speech. 🙄",Mountain_Push8895,2025-05-01T21:22:25,18
This reads like a page in a 12 year old girl's diary who needs to psych herself up to dominate the school talent show.,OvrniteTrillionaire,2025-05-01T23:47:35,14
Fuck trump,ZealousidealAd5817,2025-05-01T20:29:04,10
My UA alum cousins and their family members have MAGA hats,kerryfinchelhillary,2025-05-01T19:36:46,7
A state that voted for him to that degree wouldn’t know if he spoke or just threw his poop….,mbw70,2025-05-01T19:55:02,7
He won by 30 points,lordjuliuss,2025-05-01T20:37:58,7
"There is no better place for him to celebrate 100 chaotic days in office, and ‘all the winning with whining’ than in Tuscaloosa, Alabama.   The great univ is 170 among National Universities and #91 among Top Public Schools. College Factual ranks it #139 overall quality in the nation.    **While orange Mussolini has described it as a commencement address, it is actually a special event that was created before graduation ceremonies that begin Friday**",No_Clue_7894,2025-05-01T20:43:39,7
how many times is he gonna mention biden?,Born-Cod4210,2025-05-01T20:14:47,6
"Yuck. If I were them, mail me my diploma. ✌️",ChocolateChip1013,2025-05-01T20:30:40,6
