Comment,Author,Date,Score
One day we will wake up to his obituary.,Uncle_Icky,2025-04-01T20:31:12,13
He's DOING this intentionally. As PAYBACK. He wants to RUIN YOU and ME. Steal our Life Savings. A President would be constrained and Fearful of repercussions. He's not Qualified to be making these Life and Death decisions. I DESPISE Republicans STILL backing His INSANE ideas.,FarFromHomey,2025-04-01T21:42:11,4
![gif](giphy|hJU1u29sVFKF6r3hb1),twstdbydsn,2025-04-01T20:37:53,3
![gif](giphy|D3OdaKTGlpTBC)  Their vision of all those they call parasites,Sabrvlc,2025-04-01T20:41:46,3
I was going to say it's called Liberation Day.Because it's a big step towards liberating the super wealthy from paying personal income tax!,raistlin65,2025-04-01T23:13:07,3
nothing liberating about supporting this reign of terror,Ok-Fly9177,2025-04-02T00:33:36,2
"So, what's the plan?  Don't buy anything beyond food and basic living essentials for the next 4 years? Repair existing big ticket items or buy used ones?",GG1817,2025-04-02T10:44:30,1
This was Destiny's stream title today and it had me dead.,Gullible-Ideal8731,2025-04-03T02:37:22,1
![gif](giphy|13lmP5CSViFYoAlk2Y|downsized)  Winning!,PossumPhat13,2025-04-03T11:37:01,1
![gif](giphy|MFIsOqzodLr7ewnkUb),parenthetical_phrase,2025-04-01T20:38:21,6
"Nope, we won't be that fortunate",JPIZZLE1205,2025-04-01T21:28:47,2
